timestamp,scenario,cumulative_unserved_energy_GWh
2021-02-13 03:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 06:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 09:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 12:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 15:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 18:00:00,+4.5 GW SMR,1088.696395433275
2021-02-13 21:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 00:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 03:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 06:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 09:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 12:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 15:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 18:00:00,+4.5 GW SMR,1088.696395433275
2021-02-14 21:00:00,+4.5 GW SMR,1088.696395433275
