scenario,rank,modelled_marginal_price_EUR_per_MWh,near_VOLL
Matched reference,78,27.07989425600344,False
Matched reference,79,27.07989425600344,False
Matched reference,80,27.07989425600344,False
Matched reference,81,27.07989425600344,False
Matched reference,82,27.079894256003435,False
Matched reference,83,27.079894256003435,False
Matched reference,84,27.079894256003435,False
Matched reference,85,27.079894256003435,False
Matched reference,86,27.079894256003435,False
Matched reference,87,27.079894256003435,False
Matched reference,88,27.079894256003435,False
Matched reference,89,27.079894256003435,False
Matched reference,90,27.079894256003435,False
Matched reference,91,27.079894256003435,False
Matched reference,92,27.079894256003435,False
Matched reference,93,27.079894256003435,False
Matched reference,94,27.079894256003435,False
Matched reference,95,27.07989425600343,False
Matched reference,96,24.793026619573798,False
Matched reference,97,24.793026619573794,False
Matched reference,98,24.793026619573794,False
Matched reference,99,24.793026619573794,False
Matched reference,100,24.793026619573794,False
Matched reference,101,24.793026619573794,False
Matched reference,102,24.79302661957379,False
Matched reference,103,24.79302661957379,False
Matched reference,104,24.79302661957379,False
Matched reference,105,24.79302661957379,False
Matched reference,106,24.79302661957379,False
Matched reference,107,24.793026619573787,False
Matched reference,108,24.793026619573787,False
Matched reference,109,24.793026619573787,False
Matched reference,110,24.793026619573787,False
Matched reference,111,24.793026619573787,False
Matched reference,112,24.793026619573787,False
Matched reference,113,24.793026619573787,False
Matched reference,114,24.793026619573784,False
Matched reference,115,24.793026619573784,False
Matched reference,116,24.79302661957378,False
Matched reference,117,24.11235378440036,False
Matched reference,118,24.11235378440035,False
Matched reference,119,24.11235378440035,False
Matched reference,120,24.112353784400348,False
Matched reference,121,24.112353784400348,False
Matched reference,122,24.112353784400348,False
Matched reference,123,24.112353784400348,False
Matched reference,124,24.112353784400348,False
Matched reference,125,24.112353784400348,False
Matched reference,126,24.112353784400348,False
Matched reference,127,24.112353784400348,False
Matched reference,128,24.112353784400348,False
Matched reference,129,24.112353784400348,False
Matched reference,130,24.112353784400348,False
Matched reference,131,24.112353784400348,False
Matched reference,132,24.112353784400344,False
Matched reference,133,24.112353784400344,False
Matched reference,134,24.112353784400344,False
Matched reference,135,24.112353784400344,False
Matched reference,136,24.112353784400344,False
Matched reference,137,24.112353784400344,False
Matched reference,138,24.112353784400344,False
Matched reference,139,24.112353784400344,False
Matched reference,140,24.112353784400344,False
Matched reference,141,24.112353784400344,False
Matched reference,142,24.11235378440034,False
Matched reference,143,24.11235378440034,False
Matched reference,144,24.11235378440034,False
Matched reference,145,24.11235378440034,False
Matched reference,146,24.11235378440034,False
Matched reference,147,24.11235378440034,False
Matched reference,148,24.112353784400337,False
Matched reference,149,24.112353784400337,False
Matched reference,150,24.02259266766013,False
Matched reference,151,23.896317859084746,False
Matched reference,152,23.896317859084746,False
Matched reference,153,22.988794178891446,False
Matched reference,154,22.988794178891442,False
Matched reference,155,22.988794178891442,False
Matched reference,156,22.988794178891442,False
Matched reference,157,22.988794178891442,False
Matched reference,158,22.98879417889144,False
Matched reference,159,22.98879417889144,False
Matched reference,160,22.987936098731975,False
Matched reference,161,22.98793609873197,False
Matched reference,162,22.987936098731968,False
Matched reference,163,22.987936098731968,False
Matched reference,164,22.987936098731964,False
Matched reference,165,22.958125943853943,False
Matched reference,166,22.813277633309234,False
Matched reference,167,22.523207476121563,False
Matched reference,168,22.116499673395882,False
Matched reference,169,22.094360545738162,False
Matched reference,170,21.912492347538315,False
Matched reference,171,21.68034507571951,False
Matched reference,172,21.680345075719504,False
Matched reference,173,21.54785047582186,False
Matched reference,174,21.547850475821857,False
Matched reference,175,21.54785047582185,False
Matched reference,176,21.10995629685082,False
Matched reference,177,20.909913755690038,False
Matched reference,178,20.601766473853363,False
Matched reference,179,20.316373403288484,False
Matched reference,180,20.31637340328848,False
Matched reference,181,20.31637340328848,False
Matched reference,182,20.17447194526682,False
Matched reference,183,19.99087605831129,False
Matched reference,184,19.99087605831129,False
Matched reference,185,19.99087605831129,False
Matched reference,186,19.990701308240766,False
Matched reference,187,19.99070130824076,False
Matched reference,188,19.989717140942748,False
Matched reference,189,19.989549100878172,False
Matched reference,190,19.989549100878165,False
Matched reference,191,19.946680303216628,False
Matched reference,192,19.108529137082886,False
Matched reference,193,19.108529137082883,False
Matched reference,194,19.068788765704813,False
Matched reference,195,9.64072253011277,False
Matched reference,196,9.640722530112768,False
Matched reference,197,8.495355051016729,False
Matched reference,198,6.535332130430669,False
Matched reference,199,6.2947195946482895,False
Matched reference,200,4.152604147883793,False
Matched reference,201,3.8370765916754532,False
Matched reference,202,3.7256582492533843,False
Matched reference,203,3.696071711732883,False
Matched reference,204,3.696071709492472,False
Matched reference,205,3.692313851162629,False
Matched reference,206,3.640595308058828,False
Matched reference,207,3.5068436497639945,False
Matched reference,208,0.03794967261336858,False
Matched reference,209,0.02940279074179373,False
Matched reference,210,0.029402790741793722,False
Matched reference,211,0.02940279074179372,False
Matched reference,212,0.02940279074179371,False
Matched reference,213,0.026776355615092767,False
